analysis.submitter_id	analysis.analysis_id	analysis.input_files.file_name	analysis.input_files.file_size	associated_entities.entity_id	associated_entities.case_id	associated_entities.entity_submitter_id	tss	participant	sample	portion	plate	center
171f6436-748a-4072-9ef6-e90d8cd9b465	31e9b072-09bb-4bd7-a8ca-6bbdccfc56f6	76ffce10-7645-48aa-811f-214e9252c90d_gdc_realn_rehead.bam	6960963367	0b0bbc77-a9f3-4298-ba21-587d10209b0b	6cd8d2dd-5545-43b0-b796-ae0506d62eb8	TCGA-A6-6650-01A-11R-1774-07	A6	6650	01A	11R	1774	07
97503aa9-93a5-4ff6-bb19-203ea235c2bf	eb8e8c69-7402-4df8-bfbb-def75beaa8f5	7632cc5b-45d4-4b71-b653-e2780b3fca81_gdc_realn_rehead.bam	3055359230	43310315-1797-422f-82d9-04be6f16225a	d976782c-90c1-421d-b83c-7fc2617e2709	TCGA-A6-2677-01A-01R-0821-07	A6	2677	01A	01R	0821	07
d0ff575f-1259-4a78-b74c-16e48a7d4e38	8a6fd008-0b22-4ff5-a31b-2e66cae75d43	198eadc4-7edb-44ae-a581-11bf7c0a6a6f_gdc_realn_rehead.bam	6932338514	91c21f37-ee2f-413e-a509-ea8ff975dad5	88832340-46ad-449c-8f81-6a8e5b495510	TCGA-A6-6780-01A-11R-1839-07	A6	6780	01A	11R	1839	07
bf4c7278-d90c-497e-97af-cc9c68ca1525	5f002ecf-fa8f-4ebe-bcb3-bfafe53ce3f5	04b12361-1571-430c-a1ab-be63cfff0d7f_gdc_realn_rehead.bam	6815144753	52f53fa6-d8ec-46db-87f9-11af1282ed6e	eb4e4e09-98b3-4e85-8dd2-75676ff2af14	TCGA-A6-5656-01A-21R-1839-07	A6	5656	01A	21R	1839	07
bd8839a3-4dcb-4688-b051-6f09c18d7fc7	6eec9200-d7fd-442d-af53-42b0cd7f42ed	4cd95d89-65d7-4285-b02d-8ea9db0d7227_gdc_realn_rehead.bam	6209184859	f9c8fe0e-124c-4099-b1bc-64f856deafeb	b54865b6-824e-4163-b759-21a6eacc98ce	TCGA-A6-6781-01A-22R-1928-07	A6	6781	01A	22R	1928	07
5b9b9a3d-51bf-4f62-bf19-7c7ea0267030	4f41783e-26d8-4b41-abb2-e0c5c5269bc6	64fc6935-8362-41d3-a141-523dd3900648_gdc_realn_rehead.bam	4350989501	4c3f5930-d886-436e-861a-7ed08c44e32b	4beee9d4-ee52-4fed-bcc4-d300f5ddd4d0	TCGA-A6-5661-01A-01R-1653-07	A6	5661	01A	01R	1653	07
ef8d5ef0-1834-4a2d-a916-4862ce9dc136	29bb4682-f428-4b9e-a8c1-e9d24d61049c	f36523d9-4c81-41ad-8e57-1be8f26c2845_gdc_realn_rehead.bam	2475127033	ea5f9e01-89a4-4129-beb8-923c8561850a	57cdaa1c-4e94-4a28-ab3b-300c0457555f	TCGA-A6-2674-01A-02R-0821-07	A6	2674	01A	02R	0821	07
11d08d8f-beea-4b57-a9cd-2f957a391360	245d02f6-7cf8-4d90-9681-fbe4e159fd7d	20a08969-f04c-42fd-a2bd-89481003562d_gdc_realn_rehead.bam	7196886399	b0617934-4319-4d0c-aac4-c004349926f7	98d45099-feae-4dad-aa38-ec03fed6d999	TCGA-A6-5659-01A-01R-1653-07	A6	5659	01A	01R	1653	07
6b5f99b2-d1e2-4133-8e61-a6b337e6e70c	7c43abad-5c04-4e60-9c5a-9c236bdeec5e	ab236896-80dd-455a-9150-47ba3aaa2f6b_gdc_realn_rehead.bam	2111827293	6a28f690-8f66-4977-b2fc-cb976fa00976	8632579e-d318-4dab-9994-d3945afc42ab	TCGA-A6-3809-01A-01R-1022-07	A6	3809	01A	01R	1022	07
bf8d10e1-1241-48fa-95a2-9e97fc58c17a	f68b99ec-1b32-428e-a74d-d0fb36d8e064	e4ca4b4f-cc4d-45bf-87db-924638846c42_gdc_realn_rehead.bam	6928497345	05cebc11-0dce-482c-893e-5b279ec67a78	4c6c8d3d-e4a3-490a-9211-cfbe7e6ee25b	TCGA-A6-5665-01A-01R-1653-07	A6	5665	01A	01R	1653	07
c14f98e2-8e9b-49f4-a244-3d06c6cb7126	9e5f15ab-2431-46af-876c-fc4b699cda3c	453479a2-8b52-4ac7-bc91-44481818e0d5_gdc_realn_rehead.bam	2384820637	b63c5cf4-5e75-498e-b08f-ceb835b71182	49929108-023e-4d35-b26d-50ab4d3ae581	TCGA-A6-2684-01A-01R-1410-07	A6	2684	01A	01R	1410	07
17510ea6-0c97-4bd0-94a4-63dd76e5b7c7	fd376f4a-7a6a-48a1-bb29-e44accdc2a70	3d78361e-8916-4880-8211-05d2e357e296_gdc_realn_rehead.bam	2464158891	c9ebb6d9-fbc9-44ae-9964-89d7c7db66f3	af17788e-a562-43aa-bd36-fd3e031f483c	TCGA-AA-3979-01A-01R-1022-07	AA	3979	01A	01R	1022	07
7324b2d6-dd30-4f99-a101-7c3d497bbcb8	75c94b27-b295-43d5-871e-8a5af9311dae	3efd67e3-dcc1-4155-8b76-54dc1a057aae_gdc_realn_rehead.bam	5792187299	6d26af33-f181-4b3f-95b9-ac3c15c96592	31a3877d-3e82-450e-811f-3448b06f3950	TCGA-AA-3655-01A-02R-1723-07	AA	3655	01A	02R	1723	07
1e50d68e-ac09-42ad-9678-bc0598328037	b165b066-f907-4392-a98d-f28f47cad5ee	624472a4-7e54-44ab-8853-ed101c449ca9_gdc_realn_rehead.bam	6632031863	2f165c52-b5b5-4c07-8048-1f1b32faa7c3	a123dc45-e427-461e-8d60-c51307aa498c	TCGA-D5-6535-01A-11R-1723-07	D5	6535	01A	11R	1723	07
28004569-048d-4f8c-99aa-7a8c69a98dcc	258c4be0-e409-4d33-bbc8-0efc6e00bde1	74b5333b-571a-48c5-83ef-f6177a51c3f8_gdc_realn_rehead.bam	10040797445	1c399aa3-51e0-4ae4-9c9f-5d0433a3408d	c293a148-a88c-4fb3-b2f4-e64e918044f9	TCGA-CK-4950-01A-01R-1723-07	CK	4950	01A	01R	1723	07
2f6070c7-99d0-49bb-83ca-33c032650cde	96929177-2486-4a11-b67d-d306d7af1a9f	6dc0d2e1-e9f0-4f43-a8a4-5d5be71f9068_gdc_realn_rehead.bam	7709668328	3b6806b3-f244-4d8f-882c-e675bfd95fd1	13eff2e5-e33a-485f-9ba4-8a7ccb3c7528	TCGA-AD-6888-01A-11R-1928-07	AD	6888	01A	11R	1928	07
9c52ed00-325f-4664-8873-327bcaa5ea74	c5e53a01-5ced-45ba-8077-aee782ccf00e	70428abf-dcfe-414b-89a5-19cc8319e624_gdc_realn_rehead.bam	1588815732	2939b1f6-95d9-47c5-ab35-4432874df3fe	f3b9defb-88ed-4c95-9feb-7197d869676c	TCGA-AA-3680-01A-01R-0905-07	AA	3680	01A	01R	0905	07
63691c59-d630-4b06-82bb-3d0587638a33	76572504-622e-498b-aea3-ced9866152c7	656e593a-f6d9-4286-8766-fa88a19c9ebd_gdc_realn_rehead.bam	6982541637	58746677-c72b-4f75-bf2b-d4428d58aec5	a94e1279-a975-480a-93e9-7b1ff05cbcbf	TCGA-3L-AA1B-01A-11R-A37K-07	3L	AA1B	01A	11R	A37K	07
e0d6a42a-2efb-4b3f-9b59-da07dadc01a4	bc74ca10-d0d8-43d3-9c0d-75a2b7ebf5fd	2002d934-5e52-4141-bd09-46d8d7f69985_gdc_realn_rehead.bam	2299278281	aa4caf7c-acbf-4c7c-9efd-c55e48840614	6baf61b6-ae5b-42f0-adc9-0d26fda231f7	TCGA-AY-4070-01A-01R-1113-07	AY	4070	01A	01R	1113	07
d0fbe329-d4d8-4082-99a8-da1a1283963d	8cf58e66-3130-4253-93d9-8d024df3dbc9	052f1474-7c28-4603-bbd2-0986590c1928_gdc_realn_rehead.bam	6897651430	ea7cf4ad-ec51-4734-b75e-aa196c870d24	fce1fd5a-54d2-4260-b187-4eb7035e96e9	TCGA-CM-6675-01A-11R-1839-07	CM	6675	01A	11R	1839	07
f96e90ca-9211-420e-a75f-5f30b67d2d95	e8784c36-5568-4e0a-88bf-aaaeca022b84	c8d9fd10-226a-42e8-83fc-e0121899685d_gdc_realn_rehead.bam	8569323276	e647189e-6d18-47ff-a7dd-2419407f51f9	27e2438d-bd01-4c50-9102-563276ed9922	TCGA-D5-6898-01A-11R-1928-07	D5	6898	01A	11R	1928	07
dfeb2d54-28da-4521-b488-bdac246bb59b	75916b84-2d98-4d1c-9f69-7ece7322c6d6	5e75557f-9031-4e0e-8361-a945367af91b_gdc_realn_rehead.bam	10591326203	9276f521-eb07-4a11-a32a-f1f4e941ed7a	9c45eaec-d854-4f51-80a3-2d80d6b4aebc	TCGA-QG-A5Z1-01A-11R-A28H-07	QG	A5Z1	01A	11R	A28H	07
15864159-be88-41c8-bdef-c2c5927cb1a1	e688e728-d92d-4edb-b2f8-9791031b3030	78340f87-eb41-47ce-b2ed-8f8633c5e73d_gdc_realn_rehead.bam	2397780879	a274e308-43a2-4599-b931-86acd2c295f8	56e612e8-2c29-4782-be79-2813cc8dd2e6	TCGA-AA-A00J-01A-02R-A002-07	AA	A00J	01A	02R	A002	07
2358eba8-2134-4fa7-8177-b8919197f014	7bf0f11c-50b3-4224-b538-95362ad71bc6	5192c580-43f3-4f41-81f2-cfd68b7a78fd_gdc_realn_rehead.bam	2240824619	153cb676-3f1f-4fc8-8a53-e27654454a09	315ef7f6-ca21-4d87-8f19-40bd455885ec	TCGA-AY-4071-01A-01R-1113-07	AY	4071	01A	01R	1113	07
04404d33-da5c-4477-ae6a-b968332c48c0	5d41db98-c4b2-4521-b836-1caa6151f4c6	805bced2-d006-4e50-b085-1ea048f546fd_gdc_realn_rehead.bam	6361865831	966a397b-871a-4604-b515-4b90779b5134	4ad9784e-1edc-4186-9b45-4dfe0003f74b	TCGA-A6-6138-01A-11R-1774-07	A6	6138	01A	11R	1774	07
a865bc94-a60d-4927-a842-8c0d6fced029	af21d2f5-4c15-4e1e-be1b-d239966637e8	64c59a63-7ca2-4a65-8fe2-097df99ff161_gdc_realn_rehead.bam	5949724802	d0520423-038d-4da6-923b-b76f7a55244a	1e0789d6-7efb-4807-8d36-cd9224675a0c	TCGA-NH-A8F8-01A-72R-A41B-07	NH	A8F8	01A	72R	A41B	07
2328d034-7b9b-442a-ad5d-ad56d9c83d1d	d9d38487-a6d4-407a-a54e-7871bd9d637f	0ce7a043-07ae-49da-8c26-797c907e1d33_gdc_realn_rehead.bam	6625551473	3da331ff-7e07-4aa6-bdf0-1afd8c479980	7a70f061-9a6f-408e-a416-7f5295ceba3b	TCGA-CK-6751-01A-11R-1839-07	CK	6751	01A	11R	1839	07
